id,title,website,opt_out_url,opt_out_guide_url,opt_out_guide_video_url,email,phone,address,description,country,type,privacy_score,average_removal_days,shows_family_names,optery_support_tier,is_expanded_reach
21022,33 Mile Radius,https://www.33mileradius.com/,,,,privacy@33mileradius.com,,,,United States,B2B Lead Generation,7,30,,Core,True
21021,33Across,https://www.33across.com/,https://udp.33across.com/udp_opt_out,,,privacy@33across.com,,,,United States,Marketing,7,30,No,Core,True
20802,360 Media Direct,https://www.360mediadirect.com/,,,,privacy@360mediadirect.com,,,,United States,Marketing,0,0,,Core,True
17289,411.com,https://www.411.com/,https://www.whitepages.com/suppression-requests,https://www.optery.com/411-com-how-to-opt-out-of-411-com-step-by-step-instructions/,https://www.youtube.com/watch?v=scIwia0-y0k,support@whitepages.com,,,"411.com is a people search directory. Anyone can search using a name, phone number or address to reveal a person’s current and past home addresses, age, names of relatives, and other public records. Sites like 411.com often sell personal information to third-party advertisers and companies for marketing purposes – without the consent or knowledge of the individuals.",United States,People Search Site,8,10,Yes,Ultimate,False
18611,411.info,https://411.info,https://411.info/manage/,https://www.optery.com/411-info-how-to-opt-out-of-411-info-step-by-step-instructions/,,privacy@411.info,,,"411.info is the first online 411 service in US and Canada. Offering a free online information service, this data broker aims to help individuals locate people, businesses, services, and addresses. Moreover, the online services they offer are free of charge, in contrast to telephone-based 411 services. The online directory services offered on their website make it easy to connect with people and services, but this also means it leaves us exposed online. Our valuable personal and business information is bought and shared online in just a few clicks without our knowledge. This often results in phishing attempts, and unwanted spam calls and emails. Optery offers Optery for Business, a great way for business owners who want to cover the removal of their employee’s personal information from the internet. Optery for Business uses advanced technology to locate information that benefits both business owners – to reduce risk of online phishing and hacking of sensitive information, and employees – for personal safety from identity theft that might be used to put the business at risk. Sign up now! If you are concerned about your personal or company online security, we have created Step-by-Step instructions on How to Opt Out of 411.info-Business below.",United States,People Search Site,8,30,No,Ultimate,False
21382,ACE Agents,https://www.aceagents.ai/,https://www.aceagents.ai/privacy,,,admin@aceagents.ai,,,,United States,Marketing,7,30,No,Core,False
21017,ACH Address Clearing House,https://www.achcoop.com/,https://www.achcoop.com/do-not-sell-my-personal-info,,,privacy@achcoop.com,,,,United States,B2B Lead Generation,7,30,,Core,True
20760,AGR Marketing Solutions,https://www.agrmarketingsolutions.com/,,,,info@agrmarketingsolutions.com,,,,United States,Marketing,0,0,,Core,True
21006,ANCHOR,https://anchorcomputer.com/,https://ecom2.anchorcomputer.com/ccpa,,,privacyteam@anchorcomputer.com,,,,United States,Marketing,7,30,,Core,False
21009,AWL,https://awl.com/,https://dnc.allwebleads.com/Unsubscribe,,,onlineops@awl.com,,,,United States,Marketing,7,30,,Core,True
21402,Acxiom,https://www.acxiom.com/,https://isapps.acxiom.com/optout/optout.aspx,,,consumeradvo@acxiom.com,,,"Acxiom is one of the biggest data brokers in the world. It holds an astronomical amount of data from multiple countries and shares this data with millions of businesses and consumers worldwide. Acxiom gathers information about people like home addresses, purchase histories, and online registrations, and uses that data to market to people. Check out Optery’s latest product, Optery for Business that help business owners who want to cover the removal of their employees’ personal information from the internet. Sign up now!",ALL,Marketing,8,45,,Core,False
20761,Ad Direct,https://addirectinc.com/,,,,customerservice@addirectinc.com,,,,United States,Marketing,0,0,,Core,True
24227,Adapt.io,https://www.adapt.io/,https://www.adapt.io/check-my-email,,,support@adapt.io,,,,ALL,B2B Lead Generation,8,10,No,Extended,False
21422,AddressSearch.com,https://www.addresssearch.com/,https://www.addresssearch.com/remove-info.php,https://www.optery.com/addresssearch-how-to-opt-out-of-addresssearch-step-by-step-instructions/,,,,,"AddressSearch is a public records search engine that allows you to find someone’s address, phone number, email, social media profiles, and more. According to their website, AddressSearch provides access to over 1 billion public records from thousands of sources, including government agencies, businesses, and individuals. You can use AddressSearch to find people by name, address, phone number, email, social media profile, or any other piece of information.",United States,People Search Site,4,10,,Core,False
21239,Addresses.com,https://www.addresses.com/,https://www.intelius.com/privacy-center,,,priorityoptout@intelius.com,,,,United States,People Search Site,7,5,,Ultimate,False
18631,Adstra (American List Counsel),https://adstradata.com/,https://privacyportal.onetrust.com/webform/3d2d5e0c-bd98-46b8-906c-ede68a6f6a80/f54a1b10-bb5d-4c99-9521-3e08dc527583,https://www.optery.com/adstra-how-to-opt-out-of-adstra-step-by-step-instructions/,,privacy.officer@adstradata.com,,,"Adstra was formerly known as American List Counsel (ALC). This data broker operates data management wherein they collect personal information such as name, mailing address, email, and telephone number. They also store your IP addresses and browsing activities while collecting data when you visit any website, app, or other digital media property. They provide access to all this data to their users. Bonus tip : Optery recently launched Optery for Business for business owners who want to remove their employees’ personal information from the internet. Optery for Business uses advanced technology to find and suppress sensitive information in order to benefit both business owners and employees. Business owners are able to reduce the risk of online phishing and hacking of sensitive information. Moreover, their employees’ personal safety is secured from identity theft. Optery for business removes Personal Identifying Information that otherwise might be used to put the business at risk. Sign up now!",ALL,People Search Site,8,45,No,Core,False
21013,Adttribution,https://www.adttribution.com/,https://www.adttribution.com/opt-out.html,,,info@adttribution.com,,,,United States,Marketing,7,30,,Core,True
21237,AdvancedBackgroundChecks,https://www.advancedbackgroundchecks.com/,https://www.advancedbackgroundchecks.com/removal,https://www.optery.com/advancedbackgroundchecks-com-how-to-opt-out-of-advancedbackgroundchecks-com-step-by-step-instructions/,,,,,"AdvancedBackgroundChecks.com is a free people search site with access to billions of public records. You can find contact information, phone numbers, and the addresses of friends, family members, or old classmates. Easy searches on just a phone number, name, email or address will reveal the detailed, personal information of individuals.",United States,People Search Site,6,5,Yes,Ultimate,False
21153,AeroLeads,https://aeroleads.com/,https://aeroleads.com/contact,,,hello@aeroleads.com,,,,ALL,B2B Lead Generation,6,30,No,Ultimate,False
21015,Affinity Answers,https://www.affinityanswers.com/,https://www.affinityanswers.com/your-privacy-choices/,,,dataprivacy@affinityanswers.com,,,,"Belgium,Bulgaria,Croatia,Cyprus,Denmark,Estonia,Finland,France,Germany,Hungary,Ireland,Italy,Latvia,Malta,Netherlands,Iceland,Austria,Czech Republic,Greece,Lithuania,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,United Kingdom,Liechtenstein,Norway,United States",Marketing,7,30,,Core,True
